id,topic,reference_answer,essay_text,grammar_score,content_score,organization_score,final_score
1,pembelajaran daring,Pembelajaran daring memungkinkan mahasiswa belajar dari mana saja dengan memanfaatkan platform digital dan koneksi internet.,"Esai ini membahas tentang pembelajaran daring. Pendekatan pembelajaran modern dapat meningkatkan motivasi belajar. Namun
penggunaan teknologi juga memiliki tantangan tersendiri. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa
depan. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab.",4,1,3,2.67
2,peran teknologi dalam pembelajaran modern,Teknologi membantu meningkatkan kualitas pembelajaran dengan menyediakan sumber belajar yang lebih interaktif dan mudah diakses.,"Esai ini membahas tentang peran teknologi dalam pembelajaran modern. Namun penggunaan teknologi juga memiliki tantangan
tersendiri. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa depan. Teknologi dapat meningkatkan
efektivitas proses belajar. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab.",3,3,2,2.67
3,kecerdasan buatan di bidang pendidikan,Kecerdasan buatan dapat membantu menganalisis proses belajar dan memberikan rekomendasi pembelajaran yang lebih personal.,"Esai ini membahas tentang kecerdasan buatan di bidang pendidikan. Pendekatan pembelajaran modern dapat meningkatkan
motivasi belajar. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab. Guru dan dosen perlu beradaptasi
dengan perubahan teknologi. Namun penggunaan teknologi juga memiliki tantangan tersendiri. Mahasiswa perlu memahami
konsep ini agar dapat bersaing di masa depan.",3,5,2,3.33
4,transformasi pendidikan di era digital,Transformasi digital dalam pendidikan mendorong penggunaan teknologi untuk meningkatkan kualitas pembelajaran dan akses pendidikan.,"Esai ini membahas tentang transformasi pendidikan di era digital. Pendekatan pembelajaran modern dapat meningkatkan
motivasi belajar. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab. Guru dan dosen perlu beradaptasi
dengan perubahan teknologi. Perkembangan teknologi memberikan banyak peluang dalam dunia pendidikan.",5,2,2,3.0
5,internet of things untuk pembelajaran,Internet of Things memungkinkan perangkat saling terhubung sehingga dapat meningkatkan efisiensi dan interaktivitas dalam proses pembelajaran.,"Esai ini membahas tentang internet of things untuk pembelajaran. Pendekatan pembelajaran modern dapat meningkatkan
motivasi belajar. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa depan. Penggunaan teknologi harus
diimbangi dengan etika dan tanggung jawab. Teknologi dapat meningkatkan efektivitas proses belajar.",2,1,5,2.67
6,peran teknologi dalam pembelajaran modern,Teknologi membantu meningkatkan kualitas pembelajaran dengan menyediakan sumber belajar yang lebih interaktif dan mudah diakses.,"Esai ini membahas tentang peran teknologi dalam pembelajaran modern. Teknologi dapat meningkatkan efektivitas proses
belajar. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab. Mahasiswa perlu memahami konsep ini agar
dapat bersaing di masa depan. Perkembangan teknologi memberikan banyak peluang dalam dunia pendidikan. Pendekatan
pembelajaran modern dapat meningkatkan motivasi belajar.",2,5,4,3.67
7,peran teknologi dalam pembelajaran modern,Teknologi membantu meningkatkan kualitas pembelajaran dengan menyediakan sumber belajar yang lebih interaktif dan mudah diakses.,"Esai ini membahas tentang peran teknologi dalam pembelajaran modern. Namun penggunaan teknologi juga memiliki tantangan
tersendiri. Teknologi dapat meningkatkan efektivitas proses belajar. Pendekatan pembelajaran modern dapat meningkatkan
motivasi belajar. Guru dan dosen perlu beradaptasi dengan perubahan teknologi. Mahasiswa perlu memahami konsep ini agar
dapat bersaing di masa depan.",4,4,3,3.67
8,internet of things untuk pembelajaran,Internet of Things memungkinkan perangkat saling terhubung sehingga dapat meningkatkan efisiensi dan interaktivitas dalam proses pembelajaran.,"Esai ini membahas tentang internet of things untuk pembelajaran. Namun penggunaan teknologi juga memiliki tantangan
tersendiri. Perkembangan teknologi memberikan banyak peluang dalam dunia pendidikan. Pendekatan pembelajaran modern
dapat meningkatkan motivasi belajar. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab.",5,3,5,4.33
9,internet of things untuk pembelajaran,Internet of Things memungkinkan perangkat saling terhubung sehingga dapat meningkatkan efisiensi dan interaktivitas dalam proses pembelajaran.,"Esai ini membahas tentang internet of things untuk pembelajaran. Teknologi dapat meningkatkan efektivitas proses
belajar. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa depan. Guru dan dosen perlu beradaptasi dengan
perubahan teknologi. Namun penggunaan teknologi juga memiliki tantangan tersendiri. Pendekatan pembelajaran modern dapat
meningkatkan motivasi belajar. Perkembangan teknologi memberikan banyak peluang dalam dunia pendidikan.",3,1,2,2.0
10,kecerdasan buatan di bidang pendidikan,Kecerdasan buatan dapat membantu menganalisis proses belajar dan memberikan rekomendasi pembelajaran yang lebih personal.,"Esai ini membahas tentang kecerdasan buatan di bidang pendidikan. Guru dan dosen perlu beradaptasi dengan perubahan
teknologi. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa depan. Penggunaan teknologi harus diimbangi
dengan etika dan tanggung jawab. Pendekatan pembelajaran modern dapat meningkatkan motivasi belajar. Namun penggunaan
teknologi juga memiliki tantangan tersendiri. Teknologi dapat meningkatkan efektivitas proses belajar.",1,4,4,3.0
11,kecerdasan buatan di bidang pendidikan,Kecerdasan buatan dapat membantu menganalisis proses belajar dan memberikan rekomendasi pembelajaran yang lebih personal.,"Esai ini membahas tentang kecerdasan buatan di bidang pendidikan. Perkembangan teknologi memberikan banyak peluang dalam
dunia pendidikan. Teknologi dapat meningkatkan efektivitas proses belajar. Mahasiswa perlu memahami konsep ini agar
dapat bersaing di masa depan. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab. Pendekatan
pembelajaran modern dapat meningkatkan motivasi belajar. Namun penggunaan teknologi juga memiliki tantangan tersendiri.",1,1,5,2.33
12,pembelajaran daring,Pembelajaran daring memungkinkan mahasiswa belajar dari mana saja dengan memanfaatkan platform digital dan koneksi internet.,"Esai ini membahas tentang pembelajaran daring. Namun penggunaan teknologi juga memiliki tantangan tersendiri. Guru dan
dosen perlu beradaptasi dengan perubahan teknologi. Perkembangan teknologi memberikan banyak peluang dalam dunia
pendidikan. Mahasiswa perlu memahami konsep ini agar dapat bersaing di masa depan.",2,5,4,3.67
13,internet of things untuk pembelajaran,Internet of Things memungkinkan perangkat saling terhubung sehingga dapat meningkatkan efisiensi dan interaktivitas dalam proses pembelajaran.,"Esai ini membahas tentang internet of things untuk pembelajaran. Namun penggunaan teknologi juga memiliki tantangan
tersendiri. Penggunaan teknologi harus diimbangi dengan etika dan tanggung jawab. Teknologi dapat meningkatkan
efektivitas proses belajar. Guru dan dosen perlu beradaptasi dengan perubahan teknologi. Pendekatan pembelajaran modern
dapat meningkatkan motivasi belajar. Perkembangan teknologi memberikan banyak peluang dalam dunia pendidikan.",5,3,2,3.33
